"Consumption for electricity generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/3?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=008&freq=A&start=2001&end=2019&ctype=columnchart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sat Nov 07 2020 05:43:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Consumption for electricity generation for electric power",,,,,,,,,,,,,,,,,,,,,
"Natural gas","thousand Mcf","ELEC.CONS_EG.NG-US-98.A",,,,,,,,,,,,,,,,,,,
"Natural gas : United States","thousand Mcf","ELEC.CONS_EG.NG-US-98.A",5142493,5408279,4909248,5075339,5484780,5891222,6501612,6342331,6566991,7085416,7265194,8788186,7887578,7849040,9321938,9590269,8916877,10215116,10927178
"Natural gas : New England","thousand Mcf","ELEC.CONS_EG.NG-NEW-98.A",251579,325408,335625,343318,352519,367544,378455,350682,349812,405660,436568,432433,357076,334457,386588,377912,355270,356636,336455
"Natural gas : Connecticut","thousand Mcf","ELEC.CONS_EG.NG-CT-98.A",31073,64053,41825,56933,62507,74845,71612,58100,69624,83913,106695,113689,106345,99803,119330,122299,107976,135274,142784
"Natural gas : Maine","thousand Mcf","ELEC.CONS_EG.NG-ME-98.A",68286,80672,54225,57275,48634,40341,33872,36594,36746,40392,33555,28456,20904,23848,17888,22281,13717,13718,9361
"Natural gas : Massachusetts","thousand Mcf","ELEC.CONS_EG.NG-MA-98.A",93383,125634,168909,155370,151586,168042,182535,154279,149930,185240,185258,179288,153777,134663,156673,152569,156769,128810,107287
"Natural gas : New Hampshire","thousand Mcf","ELEC.CONS_EG.NG-NH-98.A",527,1096,28627,37732,45926,41339,39013,48688,38070,38937,46812,50408,29644,31240,42673,33841,25975,21563,25460
"Natural gas : Rhode Island","thousand Mcf","ELEC.CONS_EG.NG-RI-98.A",58194,53915,42009,35958,43833,42947,51397,52984,55379,57122,64198,60553,46362,44867,50005,46907,50820,57260,51551
"Natural gas : Vermont","thousand Mcf","ELEC.CONS_EG.NG-VT-98.A",116,37,30,51,32,31,26,38,64,55,49,38,44,36,19,14,12,11,12
"Natural gas : Middle Atlantic","thousand Mcf","ELEC.CONS_EG.NG-MAT-98.A",481807,544256,406706,424941,465921,582172,674320,669237,710451,837923,902573,1077653,993496,1054008,1158680,1251817,1139965,1188060,1293898
