"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=008&freq=A&start=2001&end=2019&ctype=columnchart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 07 2020 05:44:27 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Net generation for electric power","thousand megawatthours",,,,,,,,,,,,,,,,,,,,
"All fuels (utility-scale)",,"ELEC.GEN.ALL-US-98.A",,,,,,,,,,,,,,,,,,,
"Natural gas","thousand megawatthours","ELEC.GEN.NG-US-98.A",,,,,,,,,,,,,,,,,,,
"Natural gas : United States","thousand megawatthours","ELEC.GEN.NG-US-98.A",554940,607683,567303,627172,683829,734417,814752,802372,841006,901389,926290,1132791,1028949,1033172,1237656,1279380,1196753,1365822,1477042
"Natural gas : New England","thousand megawatthours","ELEC.GEN.NG-NEW-98.A",32278,42044,44214,46957,48287,50415,51499,48215,48007,55115,60121,59102,48573,45333,51942,51598,48803,49022,46655
"Natural gas : Connecticut","thousand megawatthours","ELEC.GEN.NG-CT-98.A",3840,8539,4815,7968,8744,10215,9744,7828,9503,11355,14750,15808,14872,13822,16500,17045,14928,18935,20249
"Natural gas : Maine","thousand megawatthours","ELEC.GEN.NG-ME-98.A",9982,11817,7921,8461,7106,5868,4957,5267,5318,5861,4850,4057,2906,3352,2517,3157,1915,1878,1295
"Natural gas : Massachusetts","thousand megawatthours","ELEC.GEN.NG-MA-98.A",11080,15286,21998,20538,19854,22691,24338,20928,20381,25006,25361,24091,20638,17894,20390,20464,21423,17554,14620
"Natural gas : New Hampshire","thousand megawatthours","ELEC.GEN.NG-NH-98.A",42,96,4024,5203,6615,5902,5638,7042,5318,5337,6631,7005,4055,4343,5998,4689,3540,2953,3542
"Natural gas : Rhode Island","thousand megawatthours","ELEC.GEN.NG-RI-98.A",7322,6304,5453,4784,5966,5737,6820,7147,7483,7552,8525,8140,6099,5920,6536,6241,6996,7702,6948
"Natural gas : Vermont","thousand megawatthours","ELEC.GEN.NG-VT-98.A",11,3,2,3,2,2,2,3,4,4,3,3,3,2,1,1,1,1,1
"Natural gas : Middle Atlantic","thousand megawatthours","ELEC.GEN.NG-MAT-98.A",53691,59748,45375,50612,55669,69149,81612,81575,89914,105469,115678,138400,128652,135944,150432,165564,154033,162354,182355
"Natural gas : New Jersey","thousand megawatthours","ELEC.GEN.NG-NJ-98.A",13990,16866,13666,14992,14422,14919,18146,20129,20033,24261,24587,27611,26487,30833,36428,43277,37114,38281,39773
"Natural gas : New York","thousand megawatthours","ELEC.GEN.NG-NY-98.A",37601,37229,27106,26783,31294,41480,45036,43234,41225,48106,50061,58604,53402,53464,55873,55677,46064,49318,46222
"Natural gas : Pennsylvania","thousand megawatthours","ELEC.GEN.NG-PA-98.A",2100,5652,4603,8837,9953,12749,18430,18212,28656,33102,41031,52185,48762,51647,58131,66611,70855,74756,96360
"Natural gas : East North Central","thousand megawatthours","ELEC.GEN.NG-ENC-98.A",20992,30578,20720,22318,31749,25712,33643,23552,25139,35231,45414,79181,55362,56666,85612,107853,97032,131169,153887
"Natural gas : Illinois","thousand megawatthours","ELEC.GEN.NG-IL-98.A",3962,8089,3010,2473,6210,4598,6690,3481,3599,4894,5157,10443,5876,4550,9905,16473,13885,16264,20456
"Natural gas : Indiana","thousand megawatthours","ELEC.GEN.NG-IN-98.A",1464,3527,2823,2208,3379,2438,3777,3112,3349,5910,9533,13998,8533,9006,15553,19320,16505,25120,29815
"Natural gas : Michigan","thousand megawatthours","ELEC.GEN.NG-MI-98.A",12885,15387,11043,14228,13455,11190,13009,9499,8302,12012,12554,21097,11604,11825,19216,28402,25139,29952,33226
"Natural gas : Ohio","thousand megawatthours","ELEC.GEN.NG-OH-98.A",737,1737,1745,1357,2663,2346,3946,2451,4620,7083,12104,22285,21461,23491,27833,28627,28394,43765,50875
