"Year","County","Oil (BBLs)","Natural Gas (MCF)","Water (BBLs)"
"2018","EMERY","347","6952008","2993682"
"2018","DAGGETT","581","781050","518"
"2018","CARBON","47386","42229697","8039341"
"2018","SANPETE","76510","708139","31840"
"2018","GARFIELD","133801","9125","9637621"
"2018","SUMMIT","173320","1980016","5305224"
"2018","GRAND","349571","3062669","175521"
"2018","SEVIER","1269427","0","4330519"
"2018","SAN JUAN","3916280","9647060","45315431"
"2018","UINTAH","12146827","187985861","42106580"
"2018","DUCHESNE","19003004","42470419","42620937"
