"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US13061960300","Census Tract 9603, Clay County, Georgia","3001","*****"
"1400000US13125010100","Census Tract 101, Glascock County, Georgia","3009","*****"
"1400000US13045910701","Census Tract 9107.01, Carroll County, Georgia","9166","598"
"1400000US13045910104","Census Tract 9101.04, Carroll County, Georgia","10182","758"
"1400000US13067031112","Census Tract 311.12, Cobb County, Georgia","5910","478"
"1400000US13131950400","Census Tract 9504, Grady County, Georgia","6330","520"
"1400000US13161960200","Census Tract 9602, Jeff Davis County, Georgia","6335","584"
"1400000US13067031208","Census Tract 312.08, Cobb County, Georgia","5822","505"
"1400000US13121000200","Census Tract 2, Fulton County, Georgia","6291","430"
"1400000US13139000400","Census Tract 4, Hall County, Georgia","6034","698"
"1400000US13067030330","Census Tract 303.30, Cobb County, Georgia","6371","454"
"1400000US13055010300","Census Tract 103, Chattooga County, Georgia","2607","302"
"1400000US13195020400","Census Tract 204, Madison County, Georgia","5734","446"
"1400000US13089021214","Census Tract 212.14, DeKalb County, Georgia","6246","347"
"1400000US13303950300","Census Tract 9503, Washington County, Georgia","4805","473"
"1400000US13153021113","Census Tract 211.13, Houston County, Georgia","19267","1298"
"1400000US13291000201","Census Tract 2.01, Union County, Georgia","2441","340"
"1400000US13077170402","Census Tract 1704.02, Coweta County, Georgia","9369","706"
"1400000US13215010606","Census Tract 106.06, Muscogee County, Georgia","2366","506"
"1400000US13121009801","Census Tract 98.01, Fulton County, Georgia","4543","452"
"1400000US13127000600","Census Tract 6, Glynn County, Georgia","6263","753"
"1400000US13105000500","Census Tract 5, Elbert County, Georgia","5029","418"
"1400000US13121011614","Census Tract 116.14, Fulton County, Georgia","14572","1101"
"1400000US13029920301","Census Tract 9203.01, Bryan County, Georgia","2012","206"
"1400000US13139001102","Census Tract 11.02, Hall County, Georgia","4295","319"
"1400000US13051002200","Census Tract 22, Chatham County, Georgia","4322","347"
"1400000US13245001602","Census Tract 16.02, Richmond County, Georgia","4256","429"
"1400000US13135050308","Census Tract 503.08, Gwinnett County, Georgia","4101","279"
"1400000US13067030507","Census Tract 305.07, Cobb County, Georgia","4821","319"
"1400000US13115000202","Census Tract 2.02, Floyd County, Georgia","3705","282"
"1400000US13309780100","Census Tract 7801, Wheeler County, Georgia","2534","373"
"1400000US13015960401","Census Tract 9604.01, Bartow County, Georgia","10034","909"
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","1906","244"
"1400000US13151070205","Census Tract 702.05, Henry County, Georgia","11030","871"
"1400000US13221960201","Census Tract 9602.01, Oglethorpe County, Georgia","6162","392"
"1400000US13047030500","Census Tract 305, Catoosa County, Georgia","6319","460"
"1400000US13165960100","Census Tract 9601, Jenkins County, Georgia","6071","411"
"1400000US13151070204","Census Tract 702.04, Henry County, Georgia","5195","371"
"1400000US13095001100","Census Tract 11, Dougherty County, Georgia","6162","678"
"1400000US13077170304","Census Tract 1703.04, Coweta County, Georgia","7165","541"
"1400000US13071970500","Census Tract 9705, Colquitt County, Georgia","3192","414"
"1400000US13217100903","Census Tract 1009.03, Newton County, Georgia","6197","602"
"1400000US13153021500","Census Tract 215, Houston County, Georgia","3870","505"
"1400000US13311950100","Census Tract 9501, White County, Georgia","2352","267"
"1400000US13073030504","Census Tract 305.04, Columbia County, Georgia","3593","368"
"1400000US13121010208","Census Tract 102.08, Fulton County, Georgia","4308","587"
"1400000US13067031106","Census Tract 311.06, Cobb County, Georgia","9274","802"
"1400000US13175950800","Census Tract 9508, Laurens County, Georgia","4424","491"
"1400000US13103030203","Census Tract 302.03, Effingham County, Georgia","8764","528"
"1400000US13215003200","Census Tract 32, Muscogee County, Georgia","1858","325"
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","1379","129"
"1400000US13063040408","Census Tract 404.08, Clayton County, Georgia","8338","636"
"1400000US13021013606","Census Tract 136.06, Bibb County, Georgia","5984","770"
"1400000US13089023313","Census Tract 233.13, DeKalb County, Georgia","5524","600"
"1400000US13113140406","Census Tract 1404.06, Fayette County, Georgia","3683","452"
"1400000US13251970300","Census Tract 9703, Screven County, Georgia","3687","375"
"1400000US13161960300","Census Tract 9603, Jeff Davis County, Georgia","1491","231"
"1400000US13095011300","Census Tract 113, Dougherty County, Georgia","2849","425"
"1400000US13139001003","Census Tract 10.03, Hall County, Georgia","8023","860"
"1400000US13121010001","Census Tract 100.01, Fulton County, Georgia","4834","479"
"1400000US13095011400","Census Tract 114, Dougherty County, Georgia","1379","250"
"1400000US13117130302","Census Tract 1303.02, Forsyth County, Georgia","7071","362"
"1400000US13245001300","Census Tract 13, Richmond County, Georgia","1580","245"
"1400000US13113140405","Census Tract 1404.05, Fayette County, Georgia","4020","313"
"1400000US13175950201","Census Tract 9502.01, Laurens County, Georgia","4514","373"
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","5064","562"
"1400000US13095011600","Census Tract 116, Dougherty County, Georgia","1817","211"
"1400000US13051010601","Census Tract 106.01, Chatham County, Georgia","3922","471"
"1400000US13213010201","Census Tract 102.01, Murray County, Georgia","2011","248"
"1400000US13257970400","Census Tract 9704, Stephens County, Georgia","6819","604"
"1400000US13215000800","Census Tract 8, Muscogee County, Georgia","2217","400"
"1400000US13247060405","Census Tract 604.05, Rockdale County, Georgia","6692","805"
"1400000US13121008301","Census Tract 83.01, Fulton County, Georgia","2456","439"
"1400000US13063040523","Census Tract 405.23, Clayton County, Georgia","3069","428"
"1400000US13095010602","Census Tract 106.02, Dougherty County, Georgia","3419","327"
"1400000US13153020105","Census Tract 201.05, Houston County, Georgia","6112","768"
