"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US24037875801","Census Tract 8758.01, St. Mary's County, Maryland","1552","269"
"1400000US24013507801","Census Tract 5078.01, Carroll County, Maryland","5872","376"
"1400000US24033802805","Census Tract 8028.05, Prince George's County, Maryland","4628","487"
"1400000US24005402305","Census Tract 4023.05, Baltimore County, Maryland","2045","179"
"1400000US24033801312","Census Tract 8013.12, Prince George's County, Maryland","4042","501"
"1400000US24025302400","Census Tract 3024, Harford County, Maryland","3994","355"
"1400000US24033801409","Census Tract 8014.09, Prince George's County, Maryland","3298","344"
"1400000US24037875400","Census Tract 8754, St. Mary's County, Maryland","6420","419"
"1400000US24005408100","Census Tract 4081, Baltimore County, Maryland","5669","386"
"1400000US24033802404","Census Tract 8024.04, Prince George's County, Maryland","4627","583"
"1400000US24017850904","Census Tract 8509.04, Charles County, Maryland","9373","573"
"1400000US24033807408","Census Tract 8074.08, Prince George's County, Maryland","6065","448"
"1400000US24005408900","Census Tract 4089, Baltimore County, Maryland","2655","238"
"1400000US24031704804","Census Tract 7048.04, Montgomery County, Maryland","1714","139"
"1400000US24017850901","Census Tract 8509.01, Charles County, Maryland","5179","436"
"1400000US24019970600","Census Tract 9706, Dorchester County, Maryland","4601","464"
"1400000US24005451500","Census Tract 4515, Baltimore County, Maryland","3928","334"
"1400000US24033800511","Census Tract 8005.11, Prince George's County, Maryland","5093","318"
"1400000US24021751903","Census Tract 7519.03, Frederick County, Maryland","6057","312"
"1400000US24033803512","Census Tract 8035.12, Prince George's County, Maryland","7064","603"
"1400000US24025301602","Census Tract 3016.02, Harford County, Maryland","8437","531"
"1400000US24003730504","Census Tract 7305.04, Anne Arundel County, Maryland","7906","668"
"1400000US24027601105","Census Tract 6011.05, Howard County, Maryland","4687","365"
"1400000US24001001200","Census Tract 12, Allegany County, Maryland","3146","310"
"1400000US24005420200","Census Tract 4202, Baltimore County, Maryland","2729","221"
"1400000US24021751702","Census Tract 7517.02, Frederick County, Maryland","3831","266"
"1400000US24033800515","Census Tract 8005.15, Prince George's County, Maryland","4496","314"
"1400000US24031700312","Census Tract 7003.12, Montgomery County, Maryland","6414","365"
"1400000US24510270804","Census Tract 2708.04, Baltimore city, Maryland","3109","390"
"1400000US24510271102","Census Tract 2711.02, Baltimore city, Maryland","4505","452"
"1400000US24015030200","Census Tract 302, Cecil County, Maryland","5013","552"
"1400000US24003750300","Census Tract 7503, Anne Arundel County, Maryland","3025","323"
"1400000US24510180100","Census Tract 1801, Baltimore city, Maryland","2025","204"
"1400000US24013510000","Census Tract 5100, Carroll County, Maryland","1496","111"
"1400000US24003730402","Census Tract 7304.02, Anne Arundel County, Maryland","6083","731"
"1400000US24005450504","Census Tract 4505.04, Baltimore County, Maryland","5818","746"
"1400000US24510270102","Census Tract 2701.02, Baltimore city, Maryland","3705","560"
"1400000US24003731309","Census Tract 7313.09, Anne Arundel County, Maryland","5472","458"
"1400000US24033801313","Census Tract 8013.13, Prince George's County, Maryland","3380","319"
"1400000US24510130700","Census Tract 1307, Baltimore city, Maryland","4757","362"
"1400000US24043011202","Census Tract 112.02, Washington County, Maryland","4541","397"
"1400000US24025303205","Census Tract 3032.05, Harford County, Maryland","1644","81"
"1400000US24005402509","Census Tract 4025.09, Baltimore County, Maryland","10119","742"
"1400000US24031701703","Census Tract 7017.03, Montgomery County, Maryland","3669","287"
"1400000US24031701304","Census Tract 7013.04, Montgomery County, Maryland","5986","465"
"1400000US24003730700","Census Tract 7307, Anne Arundel County, Maryland","7339","442"
"1400000US24005403602","Census Tract 4036.02, Baltimore County, Maryland","5767","431"
"1400000US24005441000","Census Tract 4410, Baltimore County, Maryland","3805","465"
"1400000US24510130600","Census Tract 1306, Baltimore city, Maryland","3578","265"
"1400000US24003731310","Census Tract 7313.10, Anne Arundel County, Maryland","5356","310"
"1400000US24003731311","Census Tract 7313.11, Anne Arundel County, Maryland","7497","575"
"1400000US24005404800","Census Tract 4048, Baltimore County, Maryland","1954","97"
"1400000US24033800413","Census Tract 8004.13, Prince George's County, Maryland","4073","435"
"1400000US24031700723","Census Tract 7007.23, Montgomery County, Maryland","3770","299"
"1400000US24005492001","Census Tract 4920.01, Baltimore County, Maryland","1339","131"
"1400000US24031703213","Census Tract 7032.13, Montgomery County, Maryland","6021","507"
"1400000US24035810200","Census Tract 8102, Queen Anne's County, Maryland","2674","302"
"1400000US24021773500","Census Tract 7735, Frederick County, Maryland","4400","259"
"1400000US24005420500","Census Tract 4205, Baltimore County, Maryland","3490","280"
"1400000US24031700832","Census Tract 7008.32, Montgomery County, Maryland","3242","251"
"1400000US24005420900","Census Tract 4209, Baltimore County, Maryland","3469","257"
"1400000US24009860501","Census Tract 8605.01, Calvert County, Maryland","6799","389"
"1400000US24027606905","Census Tract 6069.05, Howard County, Maryland","6725","536"
"1400000US24005408505","Census Tract 4085.05, Baltimore County, Maryland","3731","192"
"1400000US24031703701","Census Tract 7037.01, Montgomery County, Maryland","4729","624"
"1400000US24031701701","Census Tract 7017.01, Montgomery County, Maryland","3614","234"
"1400000US24045010702","Census Tract 107.02, Wicomico County, Maryland","8566","769"
"1400000US24033801211","Census Tract 8012.11, Prince George's County, Maryland","3421","349"
"1400000US24003706402","Census Tract 7064.02, Anne Arundel County, Maryland","3340","400"
"1400000US24031700905","Census Tract 7009.05, Montgomery County, Maryland","4056","313"
"1400000US24005452300","Census Tract 4523, Baltimore County, Maryland","3054","417"
"1400000US24005400702","Census Tract 4007.02, Baltimore County, Maryland","2002","241"
"1400000US24001002000","Census Tract 20, Allegany County, Maryland","5550","448"
"1400000US24037990000","Census Tract 9900, St. Mary's County, Maryland","0","12"
"1400000US24005402307","Census Tract 4023.07, Baltimore County, Maryland","6261","575"
"1400000US24017850902","Census Tract 8509.02, Charles County, Maryland","5714","346"
"1400000US24033801217","Census Tract 8012.17, Prince George's County, Maryland","4165","339"
"1400000US24027605104","Census Tract 6051.04, Howard County, Maryland","5332","239"
"1400000US24037875802","Census Tract 8758.02, St. Mary's County, Maryland","4298","319"
"1400000US24021740200","Census Tract 7402, Frederick County, Maryland","4843","240"
"1400000US24031702601","Census Tract 7026.01, Montgomery County, Maryland","4433","463"
"1400000US24033804801","Census Tract 8048.01, Prince George's County, Maryland","2720","322"
"1400000US24025306300","Census Tract 3063, Harford County, Maryland","2806","304"
"1400000US24025303900","Census Tract 3039, Harford County, Maryland","2304","196"
"1400000US24003731105","Census Tract 7311.05, Anne Arundel County, Maryland","3535","186"
"1400000US24031703212","Census Tract 7032.12, Montgomery County, Maryland","9634","607"
"1400000US24033807404","Census Tract 8074.04, Prince George's County, Maryland","5494","433"
"1400000US24013507704","Census Tract 5077.04, Carroll County, Maryland","6021","493"
"1400000US24031701702","Census Tract 7017.02, Montgomery County, Maryland","2619","189"
"1400000US24035990200","Census Tract 9902, Queen Anne's County, Maryland","0","12"
"1400000US24031701215","Census Tract 7012.15, Montgomery County, Maryland","4826","333"
"1400000US24510260402","Census Tract 2604.02, Baltimore city, Maryland","3238","490"
"1400000US24009861001","Census Tract 8610.01, Calvert County, Maryland","1055","118"
"1400000US24045010300","Census Tract 103, Wicomico County, Maryland","8319","699"
"1400000US24009861004","Census Tract 8610.04, Calvert County, Maryland","6957","419"
"1400000US24033800516","Census Tract 8005.16, Prince George's County, Maryland","3917","311"
"1400000US24031703220","Census Tract 7032.20, Montgomery County, Maryland","5512","415"
"1400000US24021775400","Census Tract 7754, Frederick County, Maryland","3764","237"
"1400000US24033802501","Census Tract 8025.01, Prince George's County, Maryland","2500","285"
"1400000US24033803514","Census Tract 8035.14, Prince George's County, Maryland","4566","468"
"1400000US24003731303","Census Tract 7313.03, Anne Arundel County, Maryland","6656","335"
"1400000US24043010200","Census Tract 102, Washington County, Maryland","4288","247"
"1400000US24027601107","Census Tract 6011.07, Howard County, Maryland","5393","438"
"1400000US24031700816","Census Tract 7008.16, Montgomery County, Maryland","8448","546"
"1400000US24031700616","Census Tract 7006.16, Montgomery County, Maryland","4767","285"
"1400000US24031703000","Census Tract 7030, Montgomery County, Maryland","1772","119"
"1400000US24005492402","Census Tract 4924.02, Baltimore County, Maryland","6153","744"
"1400000US24005452000","Census Tract 4520, Baltimore County, Maryland","2661","254"
"1400000US24039930300","Census Tract 9303, Somerset County, Maryland","2248","336"
"1400000US24025301702","Census Tract 3017.02, Harford County, Maryland","8987","672"
"1400000US24510280302","Census Tract 2803.02, Baltimore city, Maryland","2464","289"
"1400000US24009860200","Census Tract 8602, Calvert County, Maryland","6087","346"
"1400000US24003730505","Census Tract 7305.05, Anne Arundel County, Maryland","4987","458"
"1400000US24047980000","Census Tract 9800, Worcester County, Maryland","0","12"
"1400000US24031701007","Census Tract 7010.07, Montgomery County, Maryland","3261","236"
"1400000US24510060200","Census Tract 602, Baltimore city, Maryland","3241","491"
"1400000US24033806710","Census Tract 8067.10, Prince George's County, Maryland","5108","544"
"1400000US24013514201","Census Tract 5142.01, Carroll County, Maryland","5233","268"
"1400000US24031701315","Census Tract 7013.15, Montgomery County, Maryland","4555","215"
"1400000US24031701005","Census Tract 7010.05, Montgomery County, Maryland","3344","167"
"1400000US24031700812","Census Tract 7008.12, Montgomery County, Maryland","3965","431"
"1400000US24003751102","Census Tract 7511.02, Anne Arundel County, Maryland","4180","374"
"1400000US24005404402","Census Tract 4044.02, Baltimore County, Maryland","6488","366"
"1400000US24013505208","Census Tract 5052.08, Carroll County, Maryland","4867","324"
"1400000US24033805602","Census Tract 8056.02, Prince George's County, Maryland","5521","572"
"1400000US24510130805","Census Tract 1308.05, Baltimore city, Maryland","943","91"
"1400000US24510100100","Census Tract 1001, Baltimore city, Maryland","2233","408"
"1400000US24003702601","Census Tract 7026.01, Anne Arundel County, Maryland","5569","350"
"1400000US24033803612","Census Tract 8036.12, Prince George's County, Maryland","3020","425"
"1400000US24510140100","Census Tract 1401, Baltimore city, Maryland","4455","405"
"1400000US24027602800","Census Tract 6028, Howard County, Maryland","6433","395"
"1400000US24031705300","Census Tract 7053, Montgomery County, Maryland","1891","73"
"1400000US24005440400","Census Tract 4404, Baltimore County, Maryland","5362","575"
"1400000US24033806900","Census Tract 8069, Prince George's County, Maryland","5404","490"
"1400000US24003750900","Census Tract 7509, Anne Arundel County, Maryland","3058","247"
"1400000US24005492200","Census Tract 4922, Baltimore County, Maryland","4854","327"
"1400000US24510040100","Census Tract 401, Baltimore city, Maryland","4404","567"
"1400000US24005421300","Census Tract 4213, Baltimore County, Maryland","3181","470"
"1400000US24005402503","Census Tract 4025.03, Baltimore County, Maryland","5145","403"
"1400000US24031703302","Census Tract 7033.02, Montgomery County, Maryland","4609","531"
"1400000US24043010100","Census Tract 101, Washington County, Maryland","966","166"
"1400000US24510160802","Census Tract 1608.02, Baltimore city, Maryland","3414","354"
"1400000US24033801302","Census Tract 8013.02, Prince George's County, Maryland","2844","303"
"1400000US24025302901","Census Tract 3029.01, Harford County, Maryland","2847","323"
"1400000US24017850500","Census Tract 8505, Charles County, Maryland","2884","284"
"1400000US24011955201","Census Tract 9552.01, Caroline County, Maryland","3671","291"
"1400000US24510140200","Census Tract 1402, Baltimore city, Maryland","2467","432"
"1400000US24031700713","Census Tract 7007.13, Montgomery County, Maryland","6202","566"
"1400000US24510100200","Census Tract 1002, Baltimore city, Maryland","2722","313"
"1400000US24031700101","Census Tract 7001.01, Montgomery County, Maryland","4428","425"
"1400000US24037875000","Census Tract 8750, St. Mary's County, Maryland","6378","562"
"1400000US24041960900","Census Tract 9609, Talbot County, Maryland","4273","247"
"1400000US24005411202","Census Tract 4112.02, Baltimore County, Maryland","3951","310"
"1400000US24015030503","Census Tract 305.03, Cecil County, Maryland","5388","460"
"1400000US24033802106","Census Tract 8021.06, Prince George's County, Maryland","3969","380"
"1400000US24031701213","Census Tract 7012.13, Montgomery County, Maryland","7340","489"
"1400000US24017850201","Census Tract 8502.01, Charles County, Maryland","1095","274"
"1400000US24510080101","Census Tract 801.01, Baltimore city, Maryland","3976","340"
"1400000US24027606603","Census Tract 6066.03, Howard County, Maryland","7976","491"
"1400000US24005421200","Census Tract 4212, Baltimore County, Maryland","1690","124"
"1400000US24003730603","Census Tract 7306.03, Anne Arundel County, Maryland","3128","169"
"1400000US24025301108","Census Tract 3011.08, Harford County, Maryland","3221","206"
"1400000US24015031301","Census Tract 313.01, Cecil County, Maryland","3385","323"
"1400000US24005491701","Census Tract 4917.01, Baltimore County, Maryland","4028","274"
"1400000US24003702500","Census Tract 7025, Anne Arundel County, Maryland","6367","717"
"1400000US24003730601","Census Tract 7306.01, Anne Arundel County, Maryland","6933","368"
"1400000US24009860701","Census Tract 8607.01, Calvert County, Maryland","3001","326"
"1400000US24037875500","Census Tract 8755, St. Mary's County, Maryland","11615","659"
"1400000US24033801005","Census Tract 8010.05, Prince George's County, Maryland","3946","264"
"1400000US24510070300","Census Tract 703, Baltimore city, Maryland","856","217"
"1400000US24003751700","Census Tract 7517, Anne Arundel County, Maryland","2756","192"
"1400000US24033801215","Census Tract 8012.15, Prince George's County, Maryland","2765","271"
"1400000US24033802804","Census Tract 8028.04, Prince George's County, Maryland","4934","407"
"1400000US24003730902","Census Tract 7309.02, Anne Arundel County, Maryland","3864","298"
"1400000US24005491000","Census Tract 4910, Baltimore County, Maryland","2271","125"
"1400000US24003730604","Census Tract 7306.04, Anne Arundel County, Maryland","7307","314"
"1400000US24003740601","Census Tract 7406.01, Anne Arundel County, Maryland","4244","408"
"1400000US24033803519","Census Tract 8035.19, Prince George's County, Maryland","6004","470"
"1400000US24005430104","Census Tract 4301.04, Baltimore County, Maryland","2975","281"
"1400000US24031705902","Census Tract 7059.02, Montgomery County, Maryland","4085","289"
"1400000US24031701417","Census Tract 7014.17, Montgomery County, Maryland","5985","563"
"1400000US24031700718","Census Tract 7007.18, Montgomery County, Maryland","6057","377"
"1400000US24031701602","Census Tract 7016.02, Montgomery County, Maryland","7280","496"
"1400000US24021767600","Census Tract 7676, Frederick County, Maryland","2962","150"
"1400000US24025301401","Census Tract 3014.01, Harford County, Maryland","7444","455"
"1400000US24021750701","Census Tract 7507.01, Frederick County, Maryland","5476","312"
"1400000US24043010700","Census Tract 107, Washington County, Maryland","3457","196"
"1400000US24021765100","Census Tract 7651, Frederick County, Maryland","3860","331"
"1400000US24047950100","Census Tract 9501, Worcester County, Maryland","2301","333"
"1400000US24033802107","Census Tract 8021.07, Prince George's County, Maryland","3806","370"
"1400000US24031700311","Census Tract 7003.11, Montgomery County, Maryland","10348","535"
"1400000US24005411302","Census Tract 4113.02, Baltimore County, Maryland","3804","305"
"1400000US24031701101","Census Tract 7011.01, Montgomery County, Maryland","4854","489"
"1400000US24005450100","Census Tract 4501, Baltimore County, Maryland","3846","284"
"1400000US24033806601","Census Tract 8066.01, Prince George's County, Maryland","4194","395"
"1400000US24013509002","Census Tract 5090.02, Carroll County, Maryland","2807","274"
"1400000US24021752802","Census Tract 7528.02, Frederick County, Maryland","3679","175"
"1400000US24005403201","Census Tract 4032.01, Baltimore County, Maryland","3417","301"
"1400000US24003702209","Census Tract 7022.09, Anne Arundel County, Maryland","4386","233"
"1400000US24031703221","Census Tract 7032.21, Montgomery County, Maryland","5533","355"
"1400000US24005492600","Census Tract 4926, Baltimore County, Maryland","3768","277"
"1400000US24005491300","Census Tract 4913, Baltimore County, Maryland","3604","299"
"1400000US24035810500","Census Tract 8105, Queen Anne's County, Maryland","5374","433"
"1400000US24031701316","Census Tract 7013.16, Montgomery County, Maryland","6419","531"
"1400000US24013514202","Census Tract 5142.02, Carroll County, Maryland","3510","160"
"1400000US24005430300","Census Tract 4303, Baltimore County, Maryland","5918","490"
"1400000US24033802700","Census Tract 8027, Prince George's County, Maryland","3199","350"
"1400000US24510130806","Census Tract 1308.06, Baltimore city, Maryland","1437","161"
"1400000US24017851400","Census Tract 8514, Charles County, Maryland","8707","536"
"1400000US24021752202","Census Tract 7522.02, Frederick County, Maryland","4241","263"
"1400000US24031703214","Census Tract 7032.14, Montgomery County, Maryland","8045","796"
"1400000US24021750100","Census Tract 7501, Frederick County, Maryland","1379","127"
"1400000US24003740800","Census Tract 7408, Anne Arundel County, Maryland","4953","267"
"1400000US24005404600","Census Tract 4046, Baltimore County, Maryland","2806","229"
"1400000US24001002200","Census Tract 22, Allegany County, Maryland","3957","238"
"1400000US24003730204","Census Tract 7302.04, Anne Arundel County, Maryland","6109","417"
"1400000US24033801310","Census Tract 8013.10, Prince George's County, Maryland","6186","317"
"1400000US24033803524","Census Tract 8035.24, Prince George's County, Maryland","4347","549"
"1400000US24037876100","Census Tract 8761, St. Mary's County, Maryland","7518","608"
"1400000US24031703902","Census Tract 7039.02, Montgomery County, Maryland","7172","637"
"1400000US24510250401","Census Tract 2504.01, Baltimore city, Maryland","3605","680"
"1400000US24027606901","Census Tract 6069.01, Howard County, Maryland","6240","536"
"1400000US24005490400","Census Tract 4904, Baltimore County, Maryland","1843","137"
"1400000US24005450400","Census Tract 4504, Baltimore County, Maryland","2312","215"
