"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45003022002","Census Tract 220.02, Aiken County, South Carolina","7191","534"
"1400000US45007010200","Census Tract 102, Anderson County, South Carolina","5641","392"
"1400000US45019003107","Census Tract 31.07, Charleston County, South Carolina","4574","450"
"1400000US45041001504","Census Tract 15.04, Florence County, South Carolina","6029","703"
"1400000US45091061502","Census Tract 615.02, York County, South Carolina","8355","702"
"1400000US45045001102","Census Tract 11.02, Greenville County, South Carolina","1968","135"
"1400000US45015020715","Census Tract 207.15, Berkeley County, South Carolina","4477","470"
"1400000US45045003009","Census Tract 30.09, Greenville County, South Carolina","8157","578"
"1400000US45049920400","Census Tract 9204, Hampton County, South Carolina","6477","624"
"1400000US45063021110","Census Tract 211.10, Lexington County, South Carolina","3062","307"
"1400000US45083021902","Census Tract 219.02, Spartanburg County, South Carolina","9439","550"
"1400000US45073030901","Census Tract 309.01, Oconee County, South Carolina","2494","268"
"1400000US45045003012","Census Tract 30.12, Greenville County, South Carolina","5616","383"
"1400000US45077011103","Census Tract 111.03, Pickens County, South Carolina","1251","127"
"1400000US45083022802","Census Tract 228.02, Spartanburg County, South Carolina","6864","538"
"1400000US45045002904","Census Tract 29.04, Greenville County, South Carolina","5362","332"
"1400000US45007010700","Census Tract 107, Anderson County, South Carolina","5650","403"
"1400000US45051070300","Census Tract 703, Horry County, South Carolina","4461","484"
"1400000US45081960201","Census Tract 9602.01, Saluda County, South Carolina","5290","568"
"1400000US45063021113","Census Tract 211.13, Lexington County, South Carolina","3242","270"
"1400000US45083022005","Census Tract 220.05, Spartanburg County, South Carolina","5364","520"
"1400000US45045000800","Census Tract 8, Greenville County, South Carolina","1316","162"
"1400000US45051070701","Census Tract 707.01, Horry County, South Carolina","6628","573"
"1400000US45003021101","Census Tract 211.01, Aiken County, South Carolina","2749","345"
"1400000US45067950700","Census Tract 9507, Marion County, South Carolina","1467","254"
"1400000US45083021403","Census Tract 214.03, Spartanburg County, South Carolina","3610","419"
"1400000US45007010600","Census Tract 106, Anderson County, South Carolina","7664","567"
"1400000US45019002003","Census Tract 20.03, Charleston County, South Carolina","9398","775"
"1400000US45015020506","Census Tract 205.06, Berkeley County, South Carolina","5700","624"
